LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,LOC_TOTAL,bug
31,7,1,19,4,2,1,38.55,21.52,17846.19,0.28,141,0.05,991.46,51,90,32,32,1
29,9,4,22,5,3,1,52.03,12.33,7914.68,0.21,111,0.08,439.7,37,74,33,33,1
196,71,14,170,37,26,21,127.7,71.54,653537.1,3.05,1177,0.01,36307.62,454,723,165,210,1
71,19,6,45,10,9,8,46.15,27.11,33930.43,0.42,211,0.04,1885.02,73,138,35,77,1
15,3,0,7,2,2,1,27.05,14.25,5493.37,0.13,74,0.07,305.19,27,47,18,15,1
143,25,11,57,13,12,1,175.18,28.52,142535.33,1.67,695,0.04,7918.63,290,405,122,154,1
33,11,7,30,6,5,1,53.63,18.46,18269.63,0.33,172,0.05,1014.98,68,104,35,40,1
92,7,7,46,4,4,1,234.02,26.64,166113.93,2.08,822,0.04,9228.55,373,449,168,99,1
44,13,6,14,7,7,1,78.96,22.12,38620.28,0.58,269,0.05,2145.57,115,154,65,50,1
133,34,3,91,30,26,1,54.04,77.46,324260.81,1.4,605,0.01,18014.49,220,385,71,136,1
91,39,20,96,20,4,9,72.67,51.47,192513.32,1.25,568,0.02,10695.18,250,318,68,111,1
58,19,6,6,10,1,5,30.99,33.52,34816.7,0.35,187,0.03,1934.26,83,104,26,64,1
28,5,0,11,3,2,1,36.57,15.24,8490.44,0.19,104,0.07,471.69,32,72,21,28,1
149,37,0,62,20,18,1,171.78,29.58,150305.78,1.69,702,0.03,8350.32,220,482,119,149,1
411,141,45,339,73,41,30,293.68,43.41,553518.63,4.25,1500,0.02,30751.03,568,932,314,456,1
121,29,3,29,15,12,3,164.09,23.26,88801.93,1.27,537,0.04,4933.44,221,316,114,124,1
79,23,14,78,12,6,4,89.42,13.73,16858.82,0.41,201,0.07,936.6,84,117,52,93,1
41,7,0,12,4,3,3,56.52,13.19,9840.36,0.25,129,0.08,546.69,50,79,36,41,1
130,37,23,65,20,10,9,83.0,51.6,220979.91,1.43,607,0.02,12276.66,258,349,95,153,1
57,15,6,7,9,7,1,45.05,29.27,38588.27,0.44,213,0.03,2143.79,75,138,41,63,1
49,9,6,4,5,5,1,102.23,12.09,14944.77,0.41,211,0.08,830.27,76,135,44,55,1
28,5,2,11,3,3,1,44.75,18.67,15592.09,0.28,148,0.05,866.23,56,92,30,30,1
71,15,6,39,8,7,1,90.85,21.94,43721.41,0.66,307,0.05,2428.97,108,199,64,77,1
22,3,1,19,2,2,1,37.27,15.43,8872.37,0.19,114,0.06,492.91,54,60,21,23,1
22,9,0,17,5,3,5,35.13,12.55,5531.32,0.15,84,0.08,307.3,31,53,21,22,1
59,13,16,23,7,7,1,104.75,22.14,51324.87,0.77,349,0.05,2851.38,126,223,74,75,1
89,32,4,62,24,19,9,54.69,47.6,123914.45,0.87,402,0.02,6884.14,154,248,55,93,1
32,7,3,24,4,4,1,34.91,18.57,12037.08,0.22,121,0.05,668.73,43,78,22,35,1
74,21,7,28,11,9,11,61.92,36.74,83581.43,0.76,354,0.03,4643.41,124,230,54,81,1
107,35,9,73,18,10,9,51.85,64.92,218524.86,1.12,516,0.02,12140.27,193,323,55,116,1
19,5,2,22,3,1,1,45.57,9.64,4237.49,0.15,85,0.1,235.42,27,58,21,21,1
18,5,3,34,3,3,1,31.39,9.47,2815.15,0.1,60,0.11,156.4,23,37,17,21,1
22,5,3,11,3,3,1,39.66,11.08,4871.43,0.15,81,0.09,270.63,28,53,24,25,1
20,5,2,19,3,3,1,31.51,10.5,3474.19,0.11,64,0.1,193.01,21,43,18,22,1
13,5,2,0,3,3,1,22.4,7.33,1204.38,0.05,38,0.14,66.91,12,26,9,15,1
44,15,2,31,8,7,4,74.36,13.06,12685.78,0.32,159,0.08,704.77,64,95,49,46,1
91,35,4,18,18,16,7,195.05,21.41,89412.4,1.39,591,0.05,4967.36,218,373,112,95,1
47,5,2,13,3,3,1,55.85,28.0,43785.9,0.52,256,0.04,2432.55,112,144,46,49,1
24,7,1,7,4,3,3,30.72,19.13,11241.58,0.2,107,0.05,624.53,40,67,23,25,1
82,21,9,59,11,10,3,70.59,44.71,141084.24,1.05,475,0.02,7838.01,190,285,68,91,1
10,3,1,12,2,1,1,23.14,6.5,977.69,0.05,32,0.15,54.32,13,19,13,11,1
28,11,2,7,6,5,5,33.22,15.91,8407.11,0.18,98,0.06,467.06,35,63,22,30,1
24,9,1,0,5,3,1,32.54,9.5,2936.77,0.1,63,0.11,163.15,19,44,15,25,0
12,3,0,0,2,2,1,14.62,6.43,604.36,0.03,23,0.16,33.58,9,14,7,12,0
106,25,0,14,13,11,1,101.31,27.04,74089.87,0.91,421,0.04,4116.1,192,229,71,106,0
15,5,0,0,3,3,1,8.17,18.0,2648.68,0.05,36,0.06,147.15,15,21,5,15,0
25,9,12,16,5,5,5,38.51,14.25,7820.87,0.18,107,0.07,434.49,38,69,20,37,0
46,29,8,35,15,1,3,61.1,22.3,30377.95,0.45,239,0.04,1687.66,110,129,37,54,0
34,9,11,28,5,1,5,41.24,20.76,17773.08,0.29,155,0.05,987.39,59,96,27,45,0
10,3,2,4,2,1,1,15.9,9.0,1287.55,0.05,35,0.11,71.53,16,19,8,12,0
23,13,10,17,7,1,5,27.4,28.12,21659.58,0.26,157,0.04,1203.31,43,114,13,33,0
23,13,10,17,7,1,5,17.45,27.22,12929.85,0.16,105,0.04,718.32,35,70,9,33,0
31,9,2,15,5,2,1,47.41,27.5,35852.6,0.43,231,0.04,1991.81,70,161,28,33,0
24,9,3,20,5,2,1,43.1,15.2,9958.0,0.22,120,0.07,553.22,40,80,25,27,0
13,3,6,5,2,1,1,29.61,9.15,2480.95,0.09,57,0.11,137.83,17,40,13,19,0
33,3,2,0,2,2,1,64.01,11.65,8684.99,0.25,135,0.09,482.5,66,69,34,35,0
21,7,6,0,4,1,4,21.34,24.44,12748.97,0.17,98,0.04,708.28,40,58,18,27,0
177,60,63,31,41,23,6,101.81,54.82,305928.62,1.86,767,0.02,16996.03,268,499,110,240,0
14,8,4,5,5,3,1,12.36,15.0,2781.99,0.06,41,0.07,154.56,16,25,8,18,0
361,110,37,191,70,46,27,157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,711,1133,251,398,0
76,24,3,48,13,10,7,60.5,32.21,62767.66,0.65,298,0.03,3487.09,102,196,57,79,0
20,5,0,0,3,3,1,34.17,10.29,3620.93,0.12,71,0.1,201.16,25,46,17,20,0
27,9,4,5,5,3,3,24.71,21.86,11802.86,0.18,108,0.05,655.71,34,74,14,31,0
15,5,2,24,3,3,1,36.19,7.18,1867.89,0.09,52,0.14,103.77,21,31,19,17,0
13,7,3,8,4,4,1,26.75,11.03,3253.68,0.1,59,0.09,180.76,25,34,17,16,0
25,5,2,16,3,3,1,48.49,14.11,9649.29,0.23,120,0.07,536.07,49,71,33,27,0
22,7,5,10,4,4,4,28.43,13.42,5120.93,0.13,75,0.07,284.5,34,41,19,27,0
28,11,5,19,6,4,1,30.61,23.1,16332.07,0.24,128,0.04,907.34,55,73,25,33,0
18,3,3,18,2,2,1,25.62,24.42,15282.02,0.21,122,0.04,849.0,58,64,19,21,0
24,9,2,20,5,3,1,27.08,39.72,42716.37,0.36,197,0.03,2373.13,87,110,23,26,0
38,9,2,12,5,5,1,54.44,19.25,20172.82,0.35,176,0.05,1120.71,70,106,40,40,0
31,9,10,9,5,5,5,54.55,14.84,12009.6,0.27,140,0.07,667.2,61,79,37,41,0
32,11,5,44,6,6,1,53.31,12.89,8852.8,0.23,123,0.08,491.82,47,76,31,37,0
62,17,5,32,9,6,4,97.49,20.91,42621.97,0.68,314,0.05,2367.89,115,199,66,67,0
41,11,3,47,6,5,1,61.64,16.96,17733.62,0.35,177,0.06,985.2,63,114,39,44,0
25,7,0,8,4,1,1,31.67,15.0,7125.0,0.16,95,0.07,395.83,30,65,16,25,0
17,5,2,2,3,3,1,36.74,14.57,7799.92,0.18,102,0.07,433.33,36,66,21,19,0
18,7,2,2,4,4,1,54.3,7.89,3382.91,0.14,80,0.13,187.94,34,46,28,20,0
48,13,4,28,7,7,1,124.44,13.9,24028.83,0.58,262,0.07,1334.93,107,155,77,52,0
127,19,4,31,10,10,1,208.02,26.3,143936.36,1.82,753,0.04,7996.46,259,494,128,131,0
21,7,0,23,4,4,1,51.3,7.64,2991.43,0.13,77,0.13,166.19,28,49,22,21,0
65,23,0,34,12,8,3,108.84,15.19,25107.55,0.55,263,0.07,1394.86,109,154,61,65,0
32,3,1,8,2,2,1,68.36,18.78,24116.87,0.43,214,0.05,1339.83,96,118,46,33,0
23,9,1,20,5,5,1,30.19,7.85,1858.26,0.08,51,0.13,103.24,17,34,13,24,0
8,3,1,6,2,1,1,10.63,3.75,149.49,0.01,12,0.27,8.3,5,7,4,9,0
63,19,1,1,11,9,10,40.21,43.24,75169.98,0.58,292,0.02,4176.1,105,187,34,64,0
22,7,1,0,4,4,4,30.25,10.71,3467.15,0.11,66,0.09,192.62,28,38,17,23,0
36,13,1,1,7,6,1,34.37,26.52,24176.72,0.3,168,0.04,1343.15,67,101,24,37,0
23,3,1,2,2,2,1,56.67,6.13,2126.03,0.12,73,0.16,118.11,35,38,20,24,0
20,9,1,1,5,4,5,23.83,11.5,3151.22,0.09,57,0.09,175.07,23,34,14,21,0
17,7,4,0,4,4,4,26.81,10.4,2899.8,0.09,58,0.1,161.1,24,34,15,21,0
73,27,3,1,15,12,8,36.37,50.39,92350.98,0.61,299,0.02,5130.61,113,186,37,76,0
6,3,4,1,2,2,1,16.39,3.5,200.76,0.02,16,0.29,11.15,5,11,5,10,0
17,7,5,1,4,3,1,31.11,12.06,4520.83,0.13,75,0.08,251.16,31,44,18,22,0
64,23,3,1,13,9,9,39.47,43.33,74124.42,0.57,283,0.02,4118.02,104,179,36,67,0
20,7,0,0,4,2,4,13.47,16.0,3447.89,0.07,47,0.06,191.55,16,31,8,20,0
24,11,0,0,6,2,6,19.97,17.33,5999.58,0.12,72,0.06,333.31,26,46,12,24,0
24,11,0,0,6,2,6,19.97,17.33,5999.58,0.12,72,0.06,333.31,26,46,12,24,0
9,5,0,0,3,1,3,14.65,4.8,337.48,0.02,19,0.21,18.75,6,13,5,9,0
9,9,0,0,5,1,5,19.29,6.43,797.14,0.04,31,0.16,44.29,10,21,7,9,0
9,5,0,0,3,1,3,9.14,10.0,913.77,0.03,24,0.1,50.76,8,16,4,9,0
14,3,0,0,2,1,1,36.78,7.07,1838.97,0.09,56,0.14,102.16,18,38,14,14,0
60,9,9,14,5,5,1,97.85,22.12,47876.6,0.72,331,0.05,2659.81,114,217,67,69,0
16,5,10,6,3,3,1,39.8,9.0,3223.83,0.12,73,0.11,179.1,27,46,18,26,0
12,3,0,4,2,2,1,23.34,6.11,871.59,0.05,33,0.16,48.42,10,23,9,12,0
13,3,0,0,2,1,1,18.1,9.63,1676.34,0.06,41,0.1,93.13,14,27,8,13,0
16,3,0,13,2,2,1,21.16,9.1,1752.37,0.06,42,0.11,97.35,13,29,10,16,0
27,7,3,5,4,3,3,28.78,18.12,9456.28,0.17,95,0.06,525.35,29,66,20,30,0
31,9,3,15,5,4,4,35.02,17.25,10420.79,0.2,110,0.06,578.93,33,77,22,34,0
37,9,2,28,5,3,1,30.93,16.0,7919.03,0.16,93,0.06,439.95,32,61,20,39,0
