LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,LOC_TOTAL,bug
67,18,14,27,1,1,1,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,81,1
67,18,14,27,1,1,1,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,81,1
67,18,14,27,1,1,1,31.0,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,81,1
67,18,14,27,1,1,1,31.0,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,81,1
14,1,5,6,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,34,46,20,19,1
14,1,5,6,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,34,46,20,19,1
21,10,22,13,7,1,1,28.4,22.92,14912.49,0.22,129,0.04,828.47,55,74,18,43,1
21,10,22,13,7,7,1,28.4,22.92,14912.49,0.22,129,0.04,828.47,55,74,18,43,1
1,1,1,0,1,1,1,9.51,3.0,85.59,0.01,9,0.33,4.75,3,6,3,2,1
1,1,1,0,1,1,1,9.51,3.0,85.59,0.01,9,0.33,4.75,3,6,3,2,1
1,1,1,0,1,1,1,8.54,4.67,186.03,0.01,12,0.21,10.33,4,8,3,2,1
1,1,1,0,1,1,1,8.54,4.67,186.03,0.01,12,0.21,10.33,4,8,3,2,1
30,21,25,10,11,6,5,24.44,38.5,36220.86,0.31,178,0.03,2012.27,66,112,18,55,1
55,39,3,17,20,2,18,43.19,29.48,37542.5,0.42,228,0.03,2085.69,90,138,29,58,1
1,1,1,0,1,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,2,3,2,2,1
1,1,1,0,1,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,2,3,2,2,1
1,1,3,2,1,1,1,17.17,2.4,98.9,0.01,13,0.42,5.49,6,7,5,4,1
1,1,3,2,1,1,1,16.21,2.25,82.12,0.01,13,0.44,4.56,6,7,4,4,1
5,5,5,0,3,2,1,15.65,4.2,276.06,0.02,19,0.24,15.34,7,12,5,10,1
12,11,2,0,6,5,4,32.4,5.33,922.01,0.06,40,0.19,51.22,16,24,12,14,1
37,23,13,18,1,1,1,71.58,16.79,20169.3,0.4,206,0.06,1120.52,94,112,42,50,1
48,17,32,3,13,10,4,49.82,25.34,31983.69,0.42,212,0.04,1776.87,75,137,37,80,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
39,5,2,4,3,2,3,55.48,19.5,21096.95,0.36,197,0.05,1172.05,96,101,32,41,1
25,11,0,3,6,4,3,38.91,9.55,3545.04,0.12,73,0.1,196.95,35,38,22,25,1
19,7,1,0,4,1,1,18.03,12.67,2893.07,0.08,52,0.08,160.73,19,33,9,20,1
66,23,11,8,12,8,7,74.53,21.0,32866.37,0.52,249,0.05,1825.91,114,135,57,77,1
52,43,1,17,22,10,13,45.12,30.48,41924.98,0.46,249,0.03,2329.17,104,145,29,53,1
33,13,9,7,9,5,3,29.94,36.35,39555.7,0.36,190,0.03,2197.54,70,120,26,42,1
33,13,9,7,9,5,3,22.48,40.3,36506.33,0.3,164,0.02,2028.13,62,102,20,42,1
44,16,17,15,12,7,3,40.53,57.35,133316.06,0.77,378,0.02,7406.45,148,230,40,61,1
44,16,17,15,12,7,3,34.55,65.19,146834.36,0.75,374,0.02,8157.46,143,231,34,61,1
146,52,2,108,1,1,1,102.5,61.98,393734.55,2.12,909,0.02,21874.14,368,541,95,148,1
91,11,47,27,6,1,1,253.3,20.6,107527.91,1.74,753,0.05,5973.77,273,480,106,138,1
578,197,61,52,1,1,1,89.82,201.29,3639354.46,6.03,2205,0.0,202186.38,781,1424,194,639,1
10,1,12,88,1,1,1,107.19,4.0,1715.09,0.14,85,0.25,95.28,36,49,27,22,1
10,1,12,88,1,1,1,122.07,3.6,1582.0,0.15,85,0.28,87.89,36,49,30,22,1
8,1,0,0,1,1,1,93.01,3.5,1139.36,0.11,71,0.29,63.3,35,36,20,8,1
8,1,0,0,1,1,1,93.01,3.5,1139.36,0.11,71,0.29,63.3,35,36,20,8,1
12,1,1,24,1,1,1,74.92,2.5,468.24,0.06,42,0.4,26.01,17,25,17,13,1
12,1,1,24,1,1,1,74.92,2.5,468.24,0.06,42,0.4,26.01,17,25,17,13,1
13,1,0,24,1,1,1,74.92,2.5,468.24,0.06,42,0.4,26.01,17,25,17,13,1
13,1,0,24,1,1,1,74.92,2.5,468.24,0.06,42,0.4,26.01,17,25,17,13,1
37,25,32,2,13,9,8,29.84,37.04,40946.5,0.37,199,0.03,2274.81,71,128,23,69,1
16,9,0,8,5,2,4,31.28,10.0,3127.52,0.1,62,0.1,173.75,24,38,18,16,1
20,9,0,4,5,2,3,17.35,22.85,9054.75,0.13,80,0.04,503.04,33,47,13,20,1
49,5,6,30,3,3,1,100.47,12.98,16924.43,0.43,219,0.08,940.25,89,130,48,55,1
11,1,0,0,1,1,1,12.68,10.0,1267.97,0.04,40,0.1,70.44,10,30,3,11,1
231,69,5,18,38,12,1,161.36,45.73,337457.65,2.46,970,0.02,18747.65,449,521,162,236,1
12,7,5,1,4,2,1,24.67,9.04,2014.11,0.07,48,0.11,111.89,23,25,14,17,1
12,7,5,1,4,2,1,20.6,10.54,2288.92,0.07,48,0.09,127.16,23,25,12,17,1
34,5,4,3,3,3,1,43.4,21.27,19640.49,0.31,180,0.05,1091.14,72,108,22,38,1
34,5,4,3,3,3,1,41.8,21.67,19620.65,0.3,178,0.05,1090.04,70,108,21,38,1
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
2,1,0,0,1,1,1,7.35,8.0,470.48,0.02,17,0.13,26.14,6,11,3,2,0
2,1,0,0,1,1,1,7.81,9.0,632.78,0.02,19,0.11,35.15,8,11,4,2,0
