loc,name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
230,TermoProjekt,1,termoprojektprogram.SesjaKadrowegoDAO_MySQL,3,1,0,6,26,3,1,5,3,2,0,0,0,0.666666667,0,0,75.66666667,2,1.3333,0
31,TermoProjekt,1,termoprojektprogram.UzytkownikTO,2,1,0,10,3,0,8,2,1,0.8,0.2,2,0,0.75,0,0,12,1,0.5,0
88,TermoProjekt,1,termoprojektprogram.Pracownik,5,1,0,11,9,0,10,3,4,0.5,0,1,0,0.8,0,0,14.8,3,1,1
225,TermoProjekt,1,termoprojektprogram.Projekt,6,1,0,10,13,0,6,4,6,0,1,1,0,0.416666667,0,0,36.16666667,1,0.6667,0
30,TermoProjekt,1,termoprojektprogram.SesjaKadrowego,3,2,0,7,7,0,1,6,3,0,0,1,0.666666667,0.555555556,1,3,8.666666667,2,1,1
509,TermoProjekt,1,termoprojektprogram.DodajProjektDialog,8,6,0,9,52,24,4,9,3,0.6,1,1,0.985882353,0.291666667,0,0,60.75,2,0.875,1
1,TermoProjekt,1,termoprojektprogram.SesjaKierownikaProjektuDAO,1,1,0,3,1,0,3,0,1,2,0,0,0,1,0,0,0,1,1,0
184,TermoProjekt,1,termoprojektprogram.SesjaKierownikaPrzedsiebiorstwa,6,2,0,13,26,0,1,12,6,0.8,0,1,0.444444444,0.433333333,1,3,29.5,1,0.8333,0
2,TermoProjekt,1,termoprojektprogram.PracownikDAO,2,1,0,4,2,1,3,2,2,2,0,0,0,0.833333333,0,0,0,1,1,0
430,TermoProjekt,1,termoprojektprogram.ProjektDAO_MySQL,5,1,0,5,26,10,1,4,5,2,0,0,0,0.6,0,0,85,2,1,1
81,TermoProjekt,1,termoprojektprogram.SesjaKierownikaProjektuDAO_MySQL,2,1,0,4,20,1,1,3,2,2,0,0,0,0.75,0,0,39.5,2,1,0
217,TermoProjekt,1,termoprojektprogram.EdytujStanZaawansowaniaProjektuDialog,7,6,0,9,41,11,3,9,1,0.633333333,0.8,2,0.985882353,0.333333333,0,0,29.28571429,1,0.8571,0
48,TermoProjekt,1,termoprojektprogram.ProjektTO,4,1,0,11,7,4,10,1,2,1.233333333,0.1,0,0,0.625,0,0,8.5,1,0.5,0
167,TermoProjekt,1,termoprojektprogram.SesjaKierownikaProjektu,5,2,0,12,22,0,1,11,5,0.75,1,1,0.5,0.44,1,3,32.2,1,0.8,0
